name,id
Allstot,
Amvrosiadis,ygiY7C8AAAAJ
Bain,Ktm9tWwAAAAJ
Barr von Oehsen,
Bauer,5cJzDZEAAAAJ
Benson,55B-xqUAAAAJ
Bhagavatula,
Blanton,
Brumley,O-29z5AAAAAJ
Budnik,RYA0zwUAAAAJ
Carley,
Chamanzar,gnEgtr8AAAAJ
Chan,dpyzXwMAAAAJ
BChen,jCNJhFcAAAAJ
VChen,hkAq-IIAAAAJ
Chi,h1NXfKYAAAAJ
Dandin,mjixDB8AAAAJ
Erdogmus,4PU5ZFYV-iEC
Fanti,Rn_BmTYAAAAJ
Fedder,JOMYt6gAAAAJ
Franchetti,SHcIvuoAAAAJ
Ganger,l6oz33MAAAAJ
Gibbons,F9kqUXkAAAAJ
Gligor,
Grover,hklOXvkAAAAJ
Hoe,ZnRhcFUAAAAJ
Jia,yjJPtE4AAAAJ
JoeWong,XEztdZgAAAAJ
Joshi,yqIoH34AAAAJ
Kar,
Kesden,
Kim,
Koopman,DFtapYEAAAAJ
Kumar,WfaqxlgAAAAJ
Li,yafW7KUAAAAJ
Low,hlh0cocAAAAJ
Lucia,a9T7i5QAAAAJ
Mai,-syEyyAAAAAJ
Mayer,-x16PXsAAAAJ
Morgan,zQluaMIAAAAJ
Moura,qoFYHTMAAAAJ
Mukherjee,
Nace,
Nakahira,jnmyOEYAAAAJ
Narasimhan,qyPWUBcAAAAJ
Negi,ppVNXUsAAAAJ
OHallaron,738WppcAAAAJ
Parno,kTTBpJkAAAAJ
Piazza,K98bfxEAAAAJ
Pileggi,Mm-vQM8AAAAJ
Peraire,F8Tqw_kAAAAJ
Qu,oFIXoy8AAAAJ
Rajkumar,6JU9KqgAAAAJ
Rawn,wVMHcqoAAAAJ
Rowe,
Sanders,FClnlsgAAAAJ
Sankaranarayanan,UtIervAAAAAJ
Savvides,mWpu_ooAAAAJ
Savvides,mWpu_ooAAAAJ
Sekar,5V852JcAAAAJ
Shen,pARKzQsAAAAJ
Shi,rejzeocAAAAJ
Skirpan,6IvhxBkAAAAJ
Smailagic,qMCGI94AAAAJ
da Silva Sousa,Fl1qHEAAAAAJ
Srimani,NVcyQ3wAAAAJ
Sriraman,
Steenkiste,DK7TEvkAAAAJ
Stern,ffUu1PcAAAAJ
Tonguz,
Towe,
Sullivan,
Wahby,cwIxVGgAAAAJ
Wlodarski,
Yagan,XtTBo1AAAAAJ
Youssfi,
Yu,Fz3_tukAAAAJ
Zajdel,XDT0iaUAAAAJ
Zheng,5EewAB0AAAAJ
Zhang,
Zhu,
